장소 이름,위도,경도
홍마트 모슬포점,126.252430900737,33.2195372853097
우리들마트,126.24822372555504,33.22883101022313
케이마트,126.25403209158829,33.22551558028207
밧데리&타이어마트,126.2515070063583,33.22889498716455
정마트 코사마트,126.255478251691,33.2234793831102
홍마트앞주차장,126.252420360206,33.2192631312306
홍마트앞 공영주차장,126.251824711302,33.2196778998365
우리들마트 주차장,126.24820809888,33.2291527914787
CU 대정하모리점,126.25181332573884,33.22025937250717
CU 모슬포점,126.25673627376,33.2254163589848
모슬포수협 바다마트,126.25849633171606,33.210068751339094
대정농협 하나로마트,126.26419905450666,33.23404408397046
제주안덕농협하나로마트&로컬푸드직매장 제주1호점,126.33329872601333,33.24665595534223
안덕농협하나로마트 사계지점,126.2919271747374,33.23084739348255
해가마트,126.32261747241982,33.2497692207707
난드르삼거리마트,126.36582350809,33.2348597566879
효재마트로또명당,126.311521849163,33.233782148868
동양월드마트 화순점,126.33610559135,33.2472443985989
제주안덕농협하나로마트 주차장,126.333407016117,33.2465258013718
코사마트해변점,126.333338539232,33.2408461478938
새생활마트,126.277139829539,33.2478713625904
향휴게마트,126.27559914833093,33.24615744933678
대정농협하나로마트 주차장,126.264531803769,33.2337683549226
진동산마트,126.260573982954,33.2216632667714
대정농협 하나로마트 전기차충전소,126.26419128594814,33.23356257656547
안덕농협 하나로마트 전기차충전소,126.33332449115036,33.246654290223695
박철우부동산마트 공인중개사사무소,126.34383103495269,33.25490225716656
CU 제주송악산점,126.291036058536,33.2076563242412
CU 제주화순점,126.335317479223,33.2464611921148
네이처컬렉션 제주대정하나로마트점,126.264199054507,33.2340440839705
이마트 서귀포점,126.5092067307476,33.24835812463035
중문농협하나로마트 본점,126.43041832783432,33.25093539168394
해성마트,126.419734281243,33.2542517542524
스타월드마트 중문점,126.427329535566,33.2546259726527
스타월드식자재마트,126.504647335832,33.2529203143894
중문낚시마트,126.433986338055,33.2514322469473
해성정육마트,126.42092285066,33.2523674953132
E-마트,126.509115623912,33.2483397325111
중문 코사마트,126.426704450044,33.2517487210019
강정코사마트,126.479762146302,33.2358573011937
중문농협하나로마트 주차장,126.430599249105,33.2508361400428
새생활할인마트,126.506689438497,33.25311597012
원정코사마트,126.390559805619,33.2459976175283
펫마트 중문점,126.44277223526645,33.25253223313215
예래코사마트,126.39097947856,33.2467534282892
펫마트 서귀포혁신점,126.50708547515876,33.24832719481864
